"id","name","parent_id","level","sort_order","description"
"12","Technic","","0","100000","Technic is a system unto itself, with a focus on connecting parts using pins and axles, but you will find plenty of Technic parts with studs as well."
"138","Brick","12","1","100100",""
"156","Plate","12","1","100200",""
"157","Beam","12","1","100300",""
"159","Thin Beam","12","1","100400",""
"158","Panel","12","1","100500",""
"171","Flat Panel","158","2","100501",""
"172","Curved Panel","158","2","100502",""
"173","Fairing","158","2","100503",""
"174","Mudguard","158","2","100504",""
"160","Connector","12","1","100600",""
"161","Axle","160","2","100601",""
"162","Pin","160","2","100602",""
"163","Hub","160","2","100603",""
"164","Other Connector","160","2","100604",""
"165","Gears","12","1","100700",""
"166","Link & Chain","12","1","100800",""
"167","Steering","12","1","100900",""
"168","Engine","12","1","101000",""
"169","Mechanical & Pneumatic","12","1","101100",""
"170","Other Technic","12","1","101200",""
"13","Electronics","","0","110000","Add light and motion to your creations using LEGO hubs, motors, lights, and sensors."
"107","Hub","13","1","110100",""
"108","Motor","13","1","110200",""
"109","Sensor & Accessories","13","1","110300",""
"178","Dimensions","13","1","110400",""
"89","DUPLO","","0","120000","The larger bricks for younger kids are twice as big in each direction and compatible with regular LEGO bricks."
"90","Brick","89","1","120100",""
"91","Plate","89","1","120200",""
"92","Angle","89","1","120300",""
"93","Curved","89","1","120400",""
"190","Ball Tube","89","1","120500",""
"94","Other","89","1","120600",""
"95","QUATRO","89","1","120700",""
"177","PRIMO","89","1","120800",""
